"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","939","createUniqueUser_shouldReturnSuccess","","Tue Jul 29 05:46:37 MSK 2025","passed","Tue Jul 29 05:46:38 MSK 2025","","user.UserCreateTest","user.UserCreateTest","createUniqueUser_shouldReturnSuccess"
"","1646","createOrderWithoutAuth_shouldReturnSuccessButWithErrorInBody","","Tue Jul 29 05:46:19 MSK 2025","passed","Tue Jul 29 05:46:20 MSK 2025","","order.OrderCreateTest","order.OrderCreateTest","createOrderWithoutAuth_shouldReturnSuccessButWithErrorInBody"
"","2954","createOrderWithInvalidIngredients_shouldReturn400","","Tue Jul 29 05:46:14 MSK 2025","passed","Tue Jul 29 05:46:17 MSK 2025","","order.OrderCreateTest","order.OrderCreateTest","createOrderWithInvalidIngredients_shouldReturn400"
"","1166","updateUserDataWithoutAuth_shouldReturn401","","Tue Jul 29 05:46:42 MSK 2025","passed","Tue Jul 29 05:46:43 MSK 2025","","user.UserUpdateTest","user.UserUpdateTest","updateUserDataWithoutAuth_shouldReturn401"
"","4663","getUserOrdersWithAuth_shouldReturnOrdersList","","Tue Jul 29 05:46:25 MSK 2025","passed","Tue Jul 29 05:46:29 MSK 2025","","order.OrderGetTest","order.OrderGetTest","getUserOrdersWithAuth_shouldReturnOrdersList"
"","1154","createExistingUser_shouldReturn403","","Tue Jul 29 05:46:38 MSK 2025","passed","Tue Jul 29 05:46:39 MSK 2025","","user.UserCreateTest","user.UserCreateTest","createExistingUser_shouldReturn403"
"","216","createUserMissingFields_shouldReturn403","","Tue Jul 29 05:46:37 MSK 2025","passed","Tue Jul 29 05:46:37 MSK 2025","","user.UserCreateTest","user.UserCreateTest","createUserMissingFields_shouldReturn403"
"","1164","updateUserDataWithAuth_shouldReturnSuccess","","Tue Jul 29 05:46:43 MSK 2025","passed","Tue Jul 29 05:46:44 MSK 2025","","user.UserUpdateTest","user.UserUpdateTest","updateUserDataWithAuth_shouldReturnSuccess"
"","1399","loginWithInvalidCredentials_shouldReturn401","","Tue Jul 29 05:46:41 MSK 2025","passed","Tue Jul 29 05:46:42 MSK 2025","","user.UserLoginTest","user.UserLoginTest","loginWithInvalidCredentials_shouldReturn401"
"","1560","loginWithValidCredentials_shouldReturnSuccess","","Tue Jul 29 05:46:39 MSK 2025","passed","Tue Jul 29 05:46:41 MSK 2025","","user.UserLoginTest","user.UserLoginTest","loginWithValidCredentials_shouldReturnSuccess"
"","1680","createOrderWithoutIngredients_shouldReturn400","","Tue Jul 29 05:46:17 MSK 2025","passed","Tue Jul 29 05:46:19 MSK 2025","","order.OrderCreateTest","order.OrderCreateTest","createOrderWithoutIngredients_shouldReturn400"
"","1823","getOrdersWithAuth_shouldReturnOrders","","Tue Jul 29 05:46:34 MSK 2025","passed","Tue Jul 29 05:46:35 MSK 2025","","order.UserOrdersTest","order.UserOrdersTest","getOrdersWithAuth_shouldReturnOrders"
"","1434","getOrdersWithoutAuth_shouldReturn401","","Tue Jul 29 05:46:35 MSK 2025","passed","Tue Jul 29 05:46:37 MSK 2025","","order.UserOrdersTest","order.UserOrdersTest","getOrdersWithoutAuth_shouldReturn401"
"","4281","getUserOrdersWithoutAuth_shouldReturn401","","Tue Jul 29 05:46:29 MSK 2025","passed","Tue Jul 29 05:46:34 MSK 2025","","order.OrderGetTest","order.OrderGetTest","getUserOrdersWithoutAuth_shouldReturn401"
"","4131","createOrderWithAuthAndIngredients_shouldReturnSuccess","","Tue Jul 29 05:46:20 MSK 2025","passed","Tue Jul 29 05:46:25 MSK 2025","","order.OrderCreateTest","order.OrderCreateTest","createOrderWithAuthAndIngredients_shouldReturnSuccess"
